id,name,category,hasImg,title,artist
4535,tt0414993,1,1,The Fountain,Darren Aronofsky
4536,tt0106881,1,1,Fearless,Peter Weir
4537,tt0075686,1,1,Annie Hall,Woody Allen
4538,tt0489037,1,1,Who Killed the Electric Car?,Chris Paine
4539,tt0265086,1,1,Black Hawk Down,Ridley Scott
4540,tt0086541,1,1,Videodrome,David Cronenberg
4541,tt0120885,1,1,Wag the Dog,Barry Levinson
4542,tt0106856,1,1,Falling Down,Joel Schumacher
4543,tt0452623,1,1,Gone Baby Gone,Ben Affleck
4544,tt0102926,1,1,The Silence of the Lambs,Jonathan Demme
4545,tt0089881,1,1,Ran,Akira Kurosawa
4546,tt1194173,1,1,The Bourne Legacy,Tony Gilroy
4547,tt1296898,1,1,Waiting for Forever,James Keach
4548,tt0120399,1,1,U Turn,Oliver Stone
4549,tt0430105,1,1,Four Brothers,John Singleton
4550,tt1103275,1,1,Two Lovers,James Gray
4551,tt0109642,1,1,Dolores Claiborne,Taylor Hackford
4552,tt0081398,1,1,Raging Bull,Martin Scorsese
4553,tt0094056,1,1,Street Smart,Jerry Schatzberg
4554,tt0119643,1,1,Meet Joe Black,Martin Brest
4555,tt0315733,1,1,21 Grams,Alejandro G. IÃ±Ã¡rritu
4556,tt0342735,1,1,Manderlay,Lars von Trier
4557,tt0765429,1,1,American Gangster,Ridley Scott
4558,tt0101921,1,1,Fried Green Tomatoes,Jon Avnet
4559,tt0498399,1,1,We Own the Night,James Gray
4560,tt0099685,1,1,Goodfellas,Martin Scorsese
4561,tt1582248,1,1,Puncture,"Mark Kassen, Adam Kassen"
4562,tt1389096,1,1,Stand Up Guys,Fisher Stevens
4563,tt0100507,1,1,Rocky V,John G. Avildsen
4564,tt0401792,1,1,Sin City,"Frank Miller, Quentin Tarantino, Robert Rodriguez"
4565,tt4846340,1,1,Hidden Figures,Theodore Melfi
4566,tt1242460,1,1,We Need to Talk About Kevin,Lynne Ramsay
4567,tt0115710,1,1,Blood and Wine,Bob Rafelson
